"","siteid","estuaryname","stationno","samplecollectiondate","transectreplicate","plotreplicate","covertype","scientificname","commonname","status","estimatedcover","percentcovercode","daubenmiremidpoint","tallestplantheight_cm","percentcovernotes","habitat","live_dead","identificationnotes","unknownreplicate","projectid","method","objectid","region","estuaryclass","mpastatus","estuarytype"
"2084","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,2,"vegetation","Salicornia pacifica","Pickleweed","native",95,6,85,57,"","Low marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2085","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,3,"vegetation","Jaumea carnosa","fleshy jaumea","native",5,2,3,12,"","Low marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2086","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,3,"vegetation","Salicornia pacifica","Pickleweed","native",95,6,85,50,"","Low marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2087","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,4,"vegetation","Salicornia pacifica","Pickleweed","native",98,7,97.5,87,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2088","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,5,"vegetation","Salicornia pacifica","Pickleweed","native",95,6,85,39,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2089","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,5,"vegetation","Juncus mexicanus","Mexican rush","native",3,2,3,45,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2090","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,5,"vegetation","Atriplex prostrata","fat hen","non-native",8,3,15,48,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2091","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,6,"vegetation","Juncus mexicanus","Mexican rush","native",5,2,3,94,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2092","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,6,"vegetation","Jaumea carnosa","fleshy jaumea","native",1,1,0.5,5,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2093","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,6,"vegetation","Distichlis spicata","salt grass","native",5,2,3,30,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2094","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,6,"vegetation","Elymus triticoides","beardless wild rye","native",5,2,3,65,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2095","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,6,"vegetation","Erigeron canadensis","horseweed","native",2,2,3,67,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2096","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,6,"vegetation","Frankenia salina","alkali heath","native",2,2,3,15,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2097","CC-MCS","Moro Cojo Slough",3,"2023-10-31",1,6,"thatch","Not recorded","Not recorded","Not recorded",40,4,37.5,-88,"","High marsh","Not recorded","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2098","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,1,"vegetation","Salicornia pacifica","Pickleweed","native",92,6,85,35,"","Low marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2099","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,1,"wrack","Not recorded","Not recorded","Not recorded",5,2,3,-88,"","Low marsh","Not recorded","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2100","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,1,"woody debris","Not recorded","Not recorded","Not recorded",1,1,0.5,-88,"","Low marsh","Not recorded","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2101","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,2,"vegetation","Salicornia pacifica","Pickleweed","native",75,5,62.5,56,"","Low marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2102","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,3,"vegetation","Salicornia pacifica","Pickleweed","native",80,6,85,69,"","Low marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2103","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,4,"vegetation","Salicornia pacifica","Pickleweed","native",30,4,37.5,48,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2104","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,4,"vegetation","Jaumea carnosa","fleshy jaumea","native",40,4,37.5,39,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2105","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,4,"thatch","Not recorded","Not recorded","Not recorded",20,3,15,-88,"","Mid marsh","Not recorded","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2106","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,5,"vegetation","Salicornia pacifica","Pickleweed","native",70,5,62.5,57,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2107","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,5,"vegetation","Jaumea carnosa","fleshy jaumea","native",40,4,37.5,39,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2108","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,5,"thatch","Not recorded","Not recorded","Not recorded",10,3,15,-88,"","Mid marsh","Not recorded","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2109","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,6,"vegetation","Salicornia pacifica","Pickleweed","native",80,6,85,45,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2110","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,6,"vegetation","Juncus mexicanus","Mexican rush","native",3,2,3,97,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2111","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,6,"vegetation","Atriplex prostrata","fat hen","non-native",5,2,3,43,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2112","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,6,"vegetation","Jaumea carnosa","fleshy jaumea","native",3,2,3,33,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2113","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,6,"vegetation","Frankenia salina","alkali heath","native",5,2,3,33,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2114","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,6,"thatch","Not recorded","Not recorded","Not recorded",10,3,15,-88,"","High marsh","Not recorded","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2115","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,7,"vegetation","Atriplex prostrata","fat hen","non-native",10,3,15,47,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2116","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,7,"vegetation","Frankenia salina","alkali heath","native",20,3,15,32,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2117","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,7,"vegetation","Jaumea carnosa","fleshy jaumea","native",40,4,37.5,17,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2118","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,7,"vegetation","Juncus mexicanus","Mexican rush","native",60,5,62.5,58,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2119","CC-MCS","Moro Cojo Slough",3,"2023-10-31",2,7,"thatch","Not recorded","Not recorded","Not recorded",80,6,85,-88,"","High marsh","Not recorded","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2120","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,1,"vegetation","Distichlis spicata","salt grass","native",75,5,62.5,49,"","Low marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2121","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,1,"vegetation","Salicornia pacifica","Pickleweed","native",75,5,62.5,52,"","Low marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2122","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,1,"vegetation","Jaumea carnosa","fleshy jaumea","native",1,1,0.5,13,"","Low marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2123","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,1,"wrack","Not recorded","Not recorded","Not recorded",2,2,3,-88,"","Low marsh","Not recorded","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2124","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,1,"algae","Not recorded","Not recorded","Not recorded",2,2,3,-88,"","Low marsh","Not recorded","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2125","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,2,"vegetation","Salicornia pacifica","Pickleweed","native",40,4,37.5,32,"","Low marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2126","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,2,"vegetation","Distichlis spicata","salt grass","native",40,4,37.5,44,"","Low marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2127","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,2,"vegetation","Jaumea carnosa","fleshy jaumea","native",60,5,62.5,16,"","Low marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2128","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,3,"vegetation","Salicornia pacifica","Pickleweed","native",80,6,85,35,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2129","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,3,"vegetation","Jaumea carnosa","fleshy jaumea","native",30,4,37.5,18,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2130","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,3,"vegetation","Distichlis spicata","salt grass","native",2,2,3,19,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2131","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,3,"woody debris","Not recorded","Not recorded","Not recorded",6,3,15,-88,"","Mid marsh","Not recorded","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2132","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,4,"vegetation","Carex barbarae","Santa Barbara sedge","native",1,1,0.5,34,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2133","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,4,"vegetation","Jaumea carnosa","fleshy jaumea","native",10,3,15,27,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2134","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,4,"vegetation","Salicornia pacifica","Pickleweed","native",40,4,37.5,39,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2135","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,4,"vegetation","Juncus mexicanus","Mexican rush","native",30,4,37.5,65,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2136","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,4,"vegetation","Atriplex prostrata","fat hen","non-native",10,3,15,46,"","Mid marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2137","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,4,"thatch","Not recorded","Not recorded","Not recorded",70,5,62.5,-88,"","Mid marsh","Not recorded","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2138","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,5,"vegetation","Atriplex prostrata","fat hen","non-native",30,4,37.5,67,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2139","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,5,"vegetation","Carex barbarae","Santa Barbara sedge","native",100,7,97.5,97,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2140","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,5,"vegetation","Jaumea carnosa","fleshy jaumea","native",2,2,3,36,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2141","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,5,"vegetation","Juncus mexicanus","Mexican rush","native",40,4,37.5,52,"","High marsh","Live","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2142","CC-MCS","Moro Cojo Slough",3,"2023-10-31",3,5,"thatch","Not recorded","Not recorded","Not recorded",100,7,97.5,-88,"","High marsh","Not recorded","",-88,"EMPA","across_elevation",13,"Central","Embayment","MPA","Perennially Open"
"2143","SC-NEW","Newport Bay",3,"2023-12-01",4,1,"vegetation","Spartina foliosa","California cordgrass","native",20,3,15,91,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2144","SC-NEW","Newport Bay",3,"2023-12-01",4,1,"vegetation","Salicornia pacifica","Pickleweed","native",60,5,62.5,53,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2145","SC-NEW","Newport Bay",3,"2023-12-01",4,1,"vegetation","Batis maritima","saltwort","native",5,2,3,30,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2146","SC-NEW","Newport Bay",3,"2023-12-01",4,1,"vegetation","Jaumea carnosa","fleshy jaumea","native",2,2,3,18,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2147","SC-NEW","Newport Bay",3,"2023-12-01",4,1,"algae","unknown algae","unknown algae","Not recorded",15,3,15,-88,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2148","SC-NEW","Newport Bay",3,"2023-12-01",4,2,"vegetation","Jaumea carnosa","fleshy jaumea","native",75,5,62.5,21,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2149","SC-NEW","Newport Bay",3,"2023-12-01",4,2,"vegetation","Batis maritima","saltwort","native",7,3,15,42,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2150","SC-NEW","Newport Bay",3,"2023-12-01",4,2,"vegetation","Spartina foliosa","California cordgrass","native",2,2,3,90,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2151","SC-NEW","Newport Bay",3,"2023-12-01",4,2,"vegetation","Salicornia pacifica","Pickleweed","native",10,3,15,30,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2152","SC-NEW","Newport Bay",3,"2023-12-01",4,2,"trash","Not recorded","Not recorded","Not recorded",1,1,0.5,-88,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2153","SC-NEW","Newport Bay",3,"2023-12-01",4,3,"vegetation","Limonium californicum","Western marsh-rosemary","native",2,2,3,15,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2154","SC-NEW","Newport Bay",3,"2023-12-01",4,3,"vegetation","Salicornia pacifica","Pickleweed","native",45,4,37.5,69,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2155","SC-NEW","Newport Bay",3,"2023-12-01",4,3,"vegetation","Spartina foliosa","California cordgrass","native",2,2,3,84,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2156","SC-NEW","Newport Bay",3,"2023-12-01",4,3,"vegetation","Batis maritima","saltwort","native",15,3,15,35,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2157","SC-NEW","Newport Bay",3,"2023-12-01",4,3,"vegetation","Jaumea carnosa","fleshy jaumea","native",20,3,15,24,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2158","SC-NEW","Newport Bay",3,"2023-12-01",4,3,"trash","Not recorded","Not recorded","Not recorded",1,1,0.5,-88,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2159","SC-NEW","Newport Bay",3,"2023-12-01",4,3,"algae","unknown algae","unknown algae","Not recorded",60,5,62.5,-88,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2160","SC-NEW","Newport Bay",3,"2023-12-01",4,4,"vegetation","Batis maritima","saltwort","native",10,3,15,38,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2161","SC-NEW","Newport Bay",3,"2023-12-01",4,4,"vegetation","Spartina foliosa","California cordgrass","native",97,7,97.5,50,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2162","SC-NEW","Newport Bay",3,"2023-12-01",4,4,"vegetation","Jaumea carnosa","fleshy jaumea","native",32,4,37.5,5,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2163","SC-NEW","Newport Bay",3,"2023-12-01",4,4,"vegetation","Salicornia pacifica","Pickleweed","native",43,4,37.5,40,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2164","SC-NEW","Newport Bay",3,"2023-12-01",4,5,"vegetation","Spartina foliosa","California cordgrass","native",7,3,15,73,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2165","SC-NEW","Newport Bay",3,"2023-12-01",4,5,"vegetation","Limonium californicum","Western marsh-rosemary","native",1,1,0.5,13,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2166","SC-NEW","Newport Bay",3,"2023-12-01",4,5,"vegetation","Jaumea carnosa","fleshy jaumea","native",80,6,85,20,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2167","SC-NEW","Newport Bay",3,"2023-12-01",4,5,"vegetation","Salicornia pacifica","Pickleweed","native",5,2,3,22,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2168","SC-NEW","Newport Bay",3,"2023-12-01",4,5,"vegetation","Batis maritima","saltwort","native",1,1,0.5,21,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2169","SC-NEW","Newport Bay",3,"2023-12-01",4,5,"algae","unknown algae","unknown algae","Not recorded",5,2,3,5,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2170","SC-NEW","Newport Bay",3,"2023-12-01",4,6,"vegetation","Spartina foliosa","California cordgrass","native",10,3,15,77,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2171","SC-NEW","Newport Bay",3,"2023-12-01",4,6,"vegetation","Jaumea carnosa","fleshy jaumea","native",80,6,85,21,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2172","SC-NEW","Newport Bay",3,"2023-12-01",4,6,"vegetation","Salicornia pacifica","Pickleweed","native",15,3,15,38,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2173","SC-NEW","Newport Bay",3,"2023-12-01",4,6,"vegetation","Batis maritima","saltwort","native",1,1,0.5,19,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2174","SC-NEW","Newport Bay",3,"2023-12-01",4,7,"vegetation","Batis maritima","saltwort","native",15,3,15,43,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2175","SC-NEW","Newport Bay",3,"2023-12-01",4,7,"vegetation","Spartina foliosa","California cordgrass","native",20,3,15,81,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2176","SC-NEW","Newport Bay",3,"2023-12-01",4,7,"vegetation","Jaumea carnosa","fleshy jaumea","native",45,4,37.5,30,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2177","SC-NEW","Newport Bay",3,"2023-12-01",4,7,"vegetation","Salicornia pacifica","Pickleweed","native",40,4,37.5,44,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2178","SC-NEW","Newport Bay",3,"2023-12-01",4,8,"vegetation","Batis maritima","saltwort","native",5,2,3,35,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2179","SC-NEW","Newport Bay",3,"2023-12-01",4,8,"vegetation","Spartina foliosa","California cordgrass","native",7,3,15,110,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2180","SC-NEW","Newport Bay",3,"2023-12-01",4,8,"vegetation","Jaumea carnosa","fleshy jaumea","native",65,5,62.5,56,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2181","SC-NEW","Newport Bay",3,"2023-12-01",4,8,"vegetation","Salicornia pacifica","Pickleweed","native",20,3,15,67,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2182","SC-NEW","Newport Bay",3,"2023-12-01",4,8,"algae","unknown algae","unknown algae","Not recorded",5,2,3,-88,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2183","SC-NEW","Newport Bay",3,"2023-12-01",4,9,"vegetation","Batis maritima","saltwort","native",2,2,3,28,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2184","SC-NEW","Newport Bay",3,"2023-12-01",4,9,"vegetation","Spartina foliosa","California cordgrass","native",15,3,15,79,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2185","SC-NEW","Newport Bay",3,"2023-12-01",4,9,"vegetation","Jaumea carnosa","fleshy jaumea","native",75,5,62.5,29,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2186","SC-NEW","Newport Bay",3,"2023-12-01",4,9,"vegetation","Salicornia pacifica","Pickleweed","native",10,3,15,52,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2187","SC-NEW","Newport Bay",3,"2023-12-01",4,10,"vegetation","Batis maritima","saltwort","native",25,3,15,20,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2188","SC-NEW","Newport Bay",3,"2023-12-01",4,10,"vegetation","Spartina foliosa","California cordgrass","native",45,4,37.5,66,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2189","SC-NEW","Newport Bay",3,"2023-12-01",4,10,"vegetation","Salicornia pacifica","Pickleweed","native",15,3,15,26,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2190","SC-NEW","Newport Bay",3,"2023-12-01",4,10,"vegetation","Salicornia bigelovii","dwarf glasswort","native",5,2,3,12,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2191","SC-NEW","Newport Bay",3,"2023-12-01",4,10,"algae","unknown algae","unknown algae","Not recorded",30,4,37.5,-88,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2192","SC-NEW","Newport Bay",3,"2023-12-01",4,11,"vegetation","Jaumea carnosa","fleshy jaumea","native",85,6,85,20,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2193","SC-NEW","Newport Bay",3,"2023-12-01",4,11,"vegetation","Batis maritima","saltwort","native",1,1,0.5,19,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2194","SC-NEW","Newport Bay",3,"2023-12-01",4,11,"vegetation","Spartina foliosa","California cordgrass","native",5,2,3,68,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2195","SC-NEW","Newport Bay",3,"2023-12-01",4,11,"vegetation","Salicornia pacifica","Pickleweed","native",10,3,15,42,"","Low marsh","Not recorded","",-88,"Bight-Estuary-23","across_elevation",8,"South","Embayment","MPA","Perennially Open"
"2196","CC-PAJ","Pajaro River",1,"2023-10-24",1,1,"vegetation","Distichlis spicata","salt grass","native",40,4,37.5,19,"","Mid marsh","Live","",-88,"EMPA","across_elevation",12,"Central","Lagoonal","NON-MPA","Temporarily Closed"
