"","siteid","estuaryname","stationno","samplecollectiondate","tide","transectreplicate","habitat","datacollector","dataentryperson","samplemetadatanotes","projectid","elevation_time","elevation_ellipsoid","elevation_units","elevation_corr","datum_latlong","elevation_timezone","elevation_orthometric","elevation_datum","method","plotreplicate","vegetated_cover","non_vegetated_cover","latitude","longitude","objectid","region","estuaryclass","mpastatus","estuarytype"
"767","SC-KFR","Mission Bay: Kendall-Frost Reserve",1,"2023-11-10","mid",1,"Mid marsh","XB","NM","","Bight-Estuary-23","14:50:00",NA,"m","No","nad83","",NA,"Not recorded","across_elevation",5,60,40,-88,-88,24,"South","Embayment","NON-MPA","Perennially Open"
"768","NC-BOL","Bolinas Lagoon",-88,"2021-05-07","Not recorded",1,"Low marsh","Brent Hughes","Abbey Dias","transect lat/long from fall 2022 used","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,92,8,37.90673,-122.652278,3,"North","Embayment","NON-MPA","Perennially Open"
"769","CC-PAJ","Pajaro River",1,"2021-03-11","Not recorded",1,"Low marsh","Sarah Stoner-Duncan, Kevin O'Connor","Maya Vavra","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",3,99,1,-88,-88,12,"Central","Lagoonal","NON-MPA","Temporarily Closed"
"770","CC-PAJ","Pajaro River",1,"2021-03-11","Not recorded",1,"Low marsh","Sarah Stoner-Duncan, Kevin O'Connor","Maya Vavra","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",4,97,3,-88,-88,12,"Central","Lagoonal","NON-MPA","Temporarily Closed"
"771","NC-BOL","Bolinas Lagoon",-88,"2021-05-07","Not recorded",2,"Mid marsh","Brent Hughes","Abbey Dias","transect lat/long from fall 2022 used","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,25,75,37.90679,-122.652269,3,"North","Embayment","NON-MPA","Perennially Open"
"772","CC-PAJ","Pajaro River",1,"2021-03-11","Not recorded",2,"Mid marsh","Sarah Stoner-Duncan, Kevin O'Connor","Maya Vavra","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",2,99,1,-88,-88,12,"Central","Lagoonal","NON-MPA","Temporarily Closed"
"773","NC-BOL","Bolinas Lagoon",-88,"2021-05-07","Not recorded",3,"High marsh","Brent Hughes","Abbey Dias","transect lat/long from fall 2022 used","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,64,36,37.906875,-122.652258,3,"North","Embayment","NON-MPA","Perennially Open"
"774","SC-BAT","Batiquitos Lagoon",2,"2021-04-11","ebb",2,"Unvegetated salt panne","Not recorded","Jan Walker","Not recorded","EMPA","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",3,0,100,-88,-88,1,"South","Embayment","MPA","Perennially Open"
"775","CC-PAJ","Pajaro River",1,"2021-03-11","Not recorded",2,"Mid marsh","Sarah Stoner-Duncan, Kevin O'Connor","Maya Vavra","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",3,62,38,-88,-88,12,"Central","Lagoonal","NON-MPA","Temporarily Closed"
"776","NC-BOL","Bolinas Lagoon",21,"2021-05-07","Not recorded",1,"Low marsh","Brent Hughes","Abbey Dias","transect lat/long from fall 2022 used","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,69,31,37.924983,-122.676192,3,"North","Embayment","NON-MPA","Perennially Open"
"777","CC-PAJ","Pajaro River",1,"2021-03-11","Not recorded",2,"Mid marsh","Sarah Stoner-Duncan, Kevin O'Connor","Maya Vavra","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",4,99,1,-88,-88,12,"Central","Lagoonal","NON-MPA","Temporarily Closed"
"778","CC-PAJ","Pajaro River",1,"2021-03-11","Not recorded",3,"High marsh","Sarah Stoner-Duncan, Kevin O'Connor","Maya Vavra","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",2,99,1,-88,-88,12,"Central","Lagoonal","NON-MPA","Temporarily Closed"
"779","NC-BOL","Bolinas Lagoon",-88,"2021-10-28","Not recorded",1,"Low marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,97,3,37.90673,-122.652278,3,"North","Embayment","NON-MPA","Perennially Open"
"780","CC-PAJ","Pajaro River",1,"2021-03-11","Not recorded",3,"High marsh","Sarah Stoner-Duncan, Kevin O'Connor","Maya Vavra","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",3,99,1,-88,-88,12,"Central","Lagoonal","NON-MPA","Temporarily Closed"
"781","NC-DRA","Drakes Estero",1,"2023-10-06","mid",1,"Mid marsh","Shirah Strock, Vini Souza, Joel Huckeba","Shirah Strock, Vini Souza, Joel Huckeba","","EMPA","00:00:00",NA,"","Not recorded","WGS84","",NA,"","across_elevation",6,85,15,38.028475,-122.885406,4,"North","Embayment","MPA","Perennially Open"
"782","NC-BOL","Bolinas Lagoon",-88,"2021-10-28","Not recorded",1,"Low marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",5,15,85,37.906887,-122.65281,3,"North","Embayment","NON-MPA","Perennially Open"
"783","NC-BOL","Bolinas Lagoon",-88,"2021-10-28","Not recorded",2,"Mid marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,97,3,37.90679,-122.652269,3,"North","Embayment","NON-MPA","Perennially Open"
"784","NC-BOL","Bolinas Lagoon",-88,"2021-10-28","Not recorded",2,"Mid marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",5,100,0,37.906949,-122.652776,3,"North","Embayment","NON-MPA","Perennially Open"
"785","NC-BOL","Bolinas Lagoon",-88,"2021-10-28","Not recorded",3,"High marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,100,0,37.906875,-122.652258,3,"North","Embayment","NON-MPA","Perennially Open"
"786","CC-PAJ","Pajaro River",1,"2021-03-11","Not recorded",3,"High marsh","Sarah Stoner-Duncan, Kevin O'Connor","Maya Vavra","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",4,97,3,-88,-88,12,"Central","Lagoonal","NON-MPA","Temporarily Closed"
"787","CC-PAJ","Pajaro River",1,"2021-10-06","Not recorded",1,"Low marsh","Sarah Stoner Duncan, Kevin O'Connor","Jay Ryan","total and open cover estimated from Daubenmire midpoint; thatch and open were combined to post-correct data","EMPA","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",2,97,3,-88,-88,12,"Central","Lagoonal","NON-MPA","Temporarily Closed"
"788","Baja-PB","Estero Punta Banda",3,"2022-04-25","ebb",1,"Low marsh","Jan Walker","Jan Walker","","Baja-rails","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",2,98,2,-88,-88,17,"Baja","Embayment","NON-MPA","Perennially Open"
"789","NC-BOL","Bolinas Lagoon",-88,"2021-10-28","Not recorded",3,"High marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",5,100,0,37.907038,-122.652724,3,"North","Embayment","NON-MPA","Perennially Open"
"790","NC-BOL","Bolinas Lagoon",21,"2021-10-28","Not recorded",1,"Mid marsh","Brent Hughes","Abbey Dias","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,85,15,37.924983,-122.676192,3,"North","Embayment","NON-MPA","Perennially Open"
"791","Baja-PB","Estero Punta Banda",3,"2022-04-25","ebb",1,"Low marsh","Jan Walker","Jan Walker","","Baja-rails","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",3,95,5,-88,-88,17,"Baja","Embayment","NON-MPA","Perennially Open"
"792","Baja-PB","Estero Punta Banda",3,"2022-04-25","ebb",1,"Low marsh","Jan Walker","Jan Walker","","Baja-rails","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",4,99,1,-88,-88,17,"Baja","Embayment","NON-MPA","Perennially Open"
"793","Baja-SQ","Bahia de San Quintin",1,"2023-10-26","mid",1,"Upland","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",1,90,10,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"794","NC-BOL","Bolinas Lagoon",21,"2021-10-28","Not recorded",1,"Mid marsh","Brent Hughes","Abbey Dias","total and open cover estimated from Daubenmire midpoint","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",5,100,0,37.925127,-122.676733,3,"North","Embayment","NON-MPA","Perennially Open"
"795","NC-DRA","Drakes Estero",13,"2021-04-15","ingoing",1,"Mid marsh","Alyssa, Joe","Alyssa Cooper","Estimated total cover from species information","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,80,20,38.084044,-122.934775,4,"North","Embayment","MPA","Perennially Open"
"796","Baja-SQ","Bahia de San Quintin",1,"2023-10-26","mid",3,"Low marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",1,92,8,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"797","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",1,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",2,100,0,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"798","NC-DRA","Drakes Estero",1,"2023-10-06","mid",2,"Low marsh","Shirah Strock, Vini Souza, Joel Huckeba","Shirah Strock, Vini Souza, Joel Huckeba","","EMPA","00:00:00",NA,"","Not recorded","WGS84","",NA,"","across_elevation",7,40,60,38.028456,-122.885786,4,"North","Embayment","MPA","Perennially Open"
"799","NC-DRA","Drakes Estero",13,"2021-04-15","ingoing",1,"Mid marsh","Alyssa, Joe","Alyssa Cooper","Estimated total cover from species information","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",5,60,40,38.084496,-122.93497,4,"North","Embayment","MPA","Perennially Open"
"800","NC-DRA","Drakes Estero",13,"2021-04-15","ingoing",2,"Low marsh","Alyssa, Joe","Alyssa Cooper","Estimated total cover from species information","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,95,5,38.083953,-122.935123,4,"North","Embayment","MPA","Perennially Open"
"801","NC-DRA","Drakes Estero",13,"2021-04-15","ingoing",2,"Low marsh","Alyssa, Joe","Alyssa Cooper","Estimated total cover from species information","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",5,100,0,38.084375,-122.935317,4,"North","Embayment","MPA","Perennially Open"
"802","NC-DRA","Drakes Estero",23,"2021-04-15","ingoing",1,"Mid marsh","Alyssa, Joe","Alyssa Cooper","Estimated total cover from species information","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,100,0,38.083411,-122.932916,4,"North","Embayment","MPA","Perennially Open"
"803","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",1,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",3,100,0,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"804","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",1,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",4,100,0,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"805","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",1,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",5,100,0,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"806","NC-DRA","Drakes Estero",23,"2021-04-15","ingoing",1,"Mid marsh","Alyssa, Joe","Alyssa Cooper","Estimated total cover from species information","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",5,100,0,38.0835,-122.93349,4,"North","Embayment","MPA","Perennially Open"
"807","NC-DRA","Drakes Estero",23,"2021-04-15","ingoing",2,"Low marsh","Alyssa, Joe","Alyssa Cooper","Estimated total cover from species information","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,100,0,38.083257,-122.933062,4,"North","Embayment","MPA","Perennially Open"
"808","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",1,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",6,100,0,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"809","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",2,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",1,78,22,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"810","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",2,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",2,50,50,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"811","NC-DRA","Drakes Estero",23,"2021-04-15","ingoing",2,"Low marsh","Alyssa, Joe","Alyssa Cooper","Estimated total cover from species information","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",5,100,0,38.083309,-122.933631,4,"North","Embayment","MPA","Perennially Open"
"812","NC-DRA","Drakes Estero",13,"2021-10-19","Not recorded",1,"Low marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint from vegetation only; wrack conflating vegetation data, wrack was not removed","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,0,100,38.084333,-122.935274,4,"North","Embayment","MPA","Perennially Open"
"813","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",2,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",3,50,50,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"814","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",2,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",4,79,21,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"815","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",2,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",5,71,29,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"816","NC-DRA","Drakes Estero",13,"2021-10-19","Not recorded",1,"Low marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint from vegetation only; wrack conflating vegetation data, wrack was not removed","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",5,0,100,38.083976,-122.93493,4,"North","Embayment","MPA","Perennially Open"
"817","NC-DRA","Drakes Estero",13,"2021-10-19","Not recorded",2,"Mid marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint from vegetation only; wrack conflating vegetation data, wrack was not removed","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,97,3,38.084372,-122.935159,4,"North","Embayment","MPA","Perennially Open"
"818","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",2,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",6,78,22,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"819","NC-DRA","Drakes Estero",13,"2021-10-19","Not recorded",2,"Mid marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint from vegetation only; wrack conflating vegetation data, wrack was not removed","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",5,97,3,38.084023,-122.934824,4,"North","Embayment","MPA","Perennially Open"
"820","NC-DRA","Drakes Estero",13,"2021-10-19","Not recorded",3,"High marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint from vegetation only; wrack conflating vegetation data, wrack was not removed","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,85,15,38.084456,-122.93503,4,"North","Embayment","MPA","Perennially Open"
"821","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",3,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",1,84,16,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"822","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",3,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",2,40,60,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"823","NC-DRA","Drakes Estero",13,"2021-10-19","Not recorded",3,"High marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint from vegetation only; wrack conflating vegetation data, wrack was not removed","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",4,85,15,38.084095,-122.934696,4,"North","Embayment","MPA","Perennially Open"
"824","NC-DRA","Drakes Estero",23,"2021-10-19","Not recorded",1,"Low marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint from vegetation only; wrack conflating vegetation data, wrack was not removed","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,3,97,38.083315,-122.933635,4,"North","Embayment","MPA","Perennially Open"
"825","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",3,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",3,50,50,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"826","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",3,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",4,40,60,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"827","Baja-SQ","Bahia de San Quintin",2,"2023-10-27","mid",3,"High marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",5,40,60,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"828","NC-DRA","Drakes Estero",23,"2021-10-19","Not recorded",1,"Low marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint from vegetation only; wrack conflating vegetation data, wrack was not removed","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",5,0,100,38.083197,-122.933072,4,"North","Embayment","MPA","Perennially Open"
"829","NC-DRA","Drakes Estero",23,"2021-10-19","Not recorded",2,"Mid marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint from vegetation only; wrack conflating vegetation data, wrack was not removed","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,0,100,38.083481,-122.933575,4,"North","Embayment","MPA","Perennially Open"
"830","Baja-SQ","Bahia de San Quintin",3,"2023-10-29","mid",1,"Low marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",1,99,1,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"831","Baja-SQ","Bahia de San Quintin",3,"2023-10-29","mid",3,"Low marsh","Alex and Dan","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",1,30,70,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"832","Baja-SQ","Bahia de San Quintin",4,"2023-10-28","mid",1,"High marsh","Alex and Sebas","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",1,100,0,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"833","NC-DRA","Drakes Estero",23,"2021-10-19","Not recorded",2,"Mid marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint from vegetation only; wrack conflating vegetation data, wrack was not removed","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",5,0,100,38.083384,-122.932969,4,"North","Embayment","MPA","Perennially Open"
"834","NC-DRA","Drakes Estero",23,"2021-10-19","Not recorded",3,"High marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint from vegetation only; wrack conflating vegetation data, wrack was not removed","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",1,85,15,38.083593,-122.933535,4,"North","Embayment","MPA","Perennially Open"
"835","Baja-SQ","Bahia de San Quintin",4,"2023-10-28","mid",2,"Mid marsh","Alex and Sebas","JL","","Baja-rails","Not recorded",NA,"","Yes","nad83","",NA,"navd88","within_elevation",1,76,24,-88,-88,16,"Baja","Embayment","NON-MPA","Perennially Open"
"836","NC-DRA","Drakes Estero",23,"2021-10-19","Not recorded",3,"High marsh","Abbey Dias","Abbey Dias","total and open cover estimated from Daubenmire midpoint from vegetation only; wrack conflating vegetation data, wrack was not removed","EMPA","Not recorded",NA,"","Not recorded","WGS84","",NA,"","within_elevation",4,37,63,38.083557,-122.933005,4,"North","Embayment","MPA","Perennially Open"
"837","SC-KFR","Mission Bay: Kendall-Frost Reserve",1,"2023-11-10","mid",1,"Mid marsh","XB","NM","","Bight-Estuary-23","14:50:00",NA,"m","No","nad83","",NA,"Not recorded","across_elevation",6,80,20,32.79178,-117.23003,24,"South","Embayment","NON-MPA","Perennially Open"
"838","SC-KFR","Mission Bay: Kendall-Frost Reserve",1,"2023-11-10","mid",1,"Mid marsh","XB","NM","","Bight-Estuary-23","14:50:00",NA,"m","No","nad83","",NA,"Not recorded","across_elevation",7,95,5,32.79157,-117.22973,24,"South","Embayment","NON-MPA","Perennially Open"
"839","SC-KFR","Mission Bay: Kendall-Frost Reserve",1,"2023-11-10","mid",1,"Mid marsh","XB","NM","","Bight-Estuary-23","14:50:00",NA,"m","No","nad83","",NA,"Not recorded","across_elevation",8,95,5,32.79138,-117.22937,24,"South","Embayment","NON-MPA","Perennially Open"
"840","SC-KFR","Mission Bay: Kendall-Frost Reserve",1,"2023-11-10","mid",2,"Mid marsh","XB","NM","","Bight-Estuary-23","16:05:00",NA,"m","No","nad83","",NA,"Not recorded","across_elevation",1,70,30,32.79148,-117.22288,24,"South","Embayment","NON-MPA","Perennially Open"
"841","SC-KFR","Mission Bay: Kendall-Frost Reserve",1,"2023-11-10","mid",2,"Mid marsh","XB","NM","","Bight-Estuary-23","16:05:00",NA,"m","No","nad83","",NA,"Not recorded","across_elevation",2,80,20,-88,-88,24,"South","Embayment","NON-MPA","Perennially Open"
"842","SC-KFR","Mission Bay: Kendall-Frost Reserve",1,"2023-11-10","mid",2,"Mid marsh","XB","NM","","Bight-Estuary-23","16:05:00",NA,"m","No","nad83","",NA,"Not recorded","across_elevation",3,100,0,32.79125,-117.2307,24,"South","Embayment","NON-MPA","Perennially Open"
"843","SC-KFR","Mission Bay: Kendall-Frost Reserve",1,"2023-11-10","mid",2,"Mid marsh","XB","NM","","Bight-Estuary-23","16:05:00",NA,"m","No","nad83","",NA,"Not recorded","across_elevation",4,80,20,32.79113,-117.2304,24,"South","Embayment","NON-MPA","Perennially Open"
"844","SC-KFR","Mission Bay: Kendall-Frost Reserve",1,"2023-11-10","mid",2,"Mid marsh","XB","NM","","Bight-Estuary-23","16:05:00",NA,"m","No","nad83","",NA,"Not recorded","across_elevation",5,80,20,32.79105,-117.23025,24,"South","Embayment","NON-MPA","Perennially Open"
"845","SC-KFR","Mission Bay: Kendall-Frost Reserve",1,"2023-11-10","mid",2,"Mid marsh","XB","NM","","Bight-Estuary-23","16:05:00",NA,"m","No","nad83","",NA,"Not recorded","across_elevation",6,90,10,32.79098,-117.23005,24,"South","Embayment","NON-MPA","Perennially Open"
"846","SC-KFR","Mission Bay: Kendall-Frost Reserve",1,"2023-11-10","mid",2,"Mid marsh","XB","NM","","Bight-Estuary-23","16:05:00",NA,"m","No","nad83","",NA,"Not recorded","across_elevation",7,100,0,32.79083,-117.22982,24,"South","Embayment","NON-MPA","Perennially Open"
"847","NC-BOL","Bolinas Lagoon",-88,"2021-05-07","Not recorded",1,"Low marsh","Brent Hughes","Abbey Dias","transect lat/long from fall 2022 used","EMPA","Not recorded",NA,"","Not recorded","","",NA,"","within_elevation",2,70,30,-88,-88,3,"North","Embayment","NON-MPA","Perennially Open"
"848","SC-SDL","San Dieguito Lagoon",1,"2023-10-13","mid",1,"Mid marsh","LS, JB","NM","","Bight-Estuary-23","13:30:00",NA,"m","No","wgs84","",NA,"Not recorded","across_elevation",1,95,5,32.97128,-117.25708,27,"South","Riverine","MPA","Perennially Open"
"849","SC-SDL","San Dieguito Lagoon",1,"2023-10-13","mid",1,"Mid marsh","LS, JB","NM","","Bight-Estuary-23","13:30:00",NA,"m","No","wgs84","",NA,"Not recorded","across_elevation",2,45,55,32.97107,-117.25697,27,"South","Riverine","MPA","Perennially Open"
"850","SC-SDL","San Dieguito Lagoon",1,"2023-10-13","mid",1,"Mid marsh","LS, JB","NM","","Bight-Estuary-23","13:30:00",NA,"m","No","wgs84","",NA,"Not recorded","across_elevation",3,25,75,32.97083,-117.25683,27,"South","Riverine","MPA","Perennially Open"
"851","SC-SDL","San Dieguito Lagoon",1,"2023-10-13","mid",1,"Mid marsh","LS, JB","NM","","Bight-Estuary-23","13:30:00",NA,"m","No","wgs84","",NA,"Not recorded","across_elevation",4,60,40,32.97083,-117.25673,27,"South","Riverine","MPA","Perennially Open"
"852","SC-SDL","San Dieguito Lagoon",1,"2023-10-13","mid",1,"Mid marsh","LS, JB","NM","","Bight-Estuary-23","13:30:00",NA,"m","No","wgs84","",NA,"Not recorded","across_elevation",5,35,65,32.9704,-117.25662,27,"South","Riverine","MPA","Perennially Open"
"853","SC-SDL","San Dieguito Lagoon",1,"2023-10-13","mid",1,"Unvegetated salt panne","LS, JB","NM","","Bight-Estuary-23","13:30:00",NA,"m","No","wgs84","",NA,"Not recorded","across_elevation",6,0,100,32.97022,-117.25652,27,"South","Riverine","MPA","Perennially Open"
"854","SC-SDL","San Dieguito Lagoon",1,"2023-10-13","mid",2,"Mid marsh","LS, JB","NM","","Bight-Estuary-23","14:30:00",NA,"m","No","wgs84","",NA,"Not recorded","across_elevation",1,55,45,32.97145,-117.25657,27,"South","Riverine","MPA","Perennially Open"
"855","SC-SDL","San Dieguito Lagoon",1,"2023-10-13","mid",2,"Mid marsh","LS, JB","NM","","Bight-Estuary-23","14:30:00",NA,"m","No","wgs84","",NA,"Not recorded","across_elevation",2,50,50,32.97123,-117.25647,27,"South","Riverine","MPA","Perennially Open"
"856","SC-SDL","San Dieguito Lagoon",1,"2023-10-13","mid",2,"Mid marsh","LS, JB","NM","","Bight-Estuary-23","14:30:00",NA,"m","No","wgs84","",NA,"Not recorded","across_elevation",3,15,85,32.97098,-117.25637,27,"South","Riverine","MPA","Perennially Open"
