"Cover_class","cover_number","percent_cover","region","extent","siteid","estuaryname"
"High",21189,0.0504934002797643,"South","Current Wetland Footprint","SC-SWM","Sweetwater Marsh"
"Low",160572,0.382643176635155,"South","Current Wetland Footprint","SC-SWM","Sweetwater Marsh"
"Mid",88650,0.21125300555954,"South","Current Wetland Footprint","SC-SWM","Sweetwater Marsh"
"Upland",449,0.0010699672814014,"South","Current Wetland Footprint","SC-SWM","Sweetwater Marsh"
"Water",148779,0.354540450244138,"South","Current Wetland Footprint","SC-SWM","Sweetwater Marsh"
"High",584646,0.299877206714341,"South","Wetland Migration/All Areas (1.2 ft)","SC-SWM","Sweetwater Marsh"
"Low",229971,0.117956953618606,"South","Wetland Migration/All Areas (1.2 ft)","SC-SWM","Sweetwater Marsh"
"Mid",237299,0.121715638653316,"South","Wetland Migration/All Areas (1.2 ft)","SC-SWM","Sweetwater Marsh"
"Upland",725345,0.372044677470151,"South","Wetland Migration/All Areas (1.2 ft)","SC-SWM","Sweetwater Marsh"
"Water",172357,0.0884055235435865,"South","Wetland Migration/All Areas (1.2 ft)","SC-SWM","Sweetwater Marsh"
"High",168,0.0466666666666667,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SWM","Sweetwater Marsh"
"Low",1430,0.397222222222222,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SWM","Sweetwater Marsh"
"Mid",1014,0.281666666666667,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SWM","Sweetwater Marsh"
"Upland",6,0.00166666666666667,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SWM","Sweetwater Marsh"
"Water",982,0.272777777777778,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SWM","Sweetwater Marsh"
"High",9294,0.0386792295783323,"South","Current Wetland Footprint","SC-TJEN","Tijuana River Estuary North"
"Low",123167,0.512589269364585,"South","Current Wetland Footprint","SC-TJEN","Tijuana River Estuary North"
"Mid",38730,0.161184265286078,"South","Current Wetland Footprint","SC-TJEN","Tijuana River Estuary North"
"Upland",31104,0.129446821261507,"South","Current Wetland Footprint","SC-TJEN","Tijuana River Estuary North"
"Water",37989,0.158100414509497,"South","Current Wetland Footprint","SC-TJEN","Tijuana River Estuary North"
"High",38079,0.0381874140685406,"South","Wetland Migration/All Areas (1.2 ft)","SC-TJEN","Tijuana River Estuary North"
"Low",117010,0.117343137166415,"South","Wetland Migration/All Areas (1.2 ft)","SC-TJEN","Tijuana River Estuary North"
"Mid",104097,0.104393372785338,"South","Wetland Migration/All Areas (1.2 ft)","SC-TJEN","Tijuana River Estuary North"
"Upland",596303,0.598000724055594,"South","Wetland Migration/All Areas (1.2 ft)","SC-TJEN","Tijuana River Estuary North"
"Water",141672,0.142075351924113,"South","Wetland Migration/All Areas (1.2 ft)","SC-TJEN","Tijuana River Estuary North"
"High",225,0.0474283305227656,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-TJEN","Tijuana River Estuary North"
"Low",898,0.18929173693086,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-TJEN","Tijuana River Estuary North"
"Mid",715,0.150716694772344,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-TJEN","Tijuana River Estuary North"
"Upland",1820,0.383642495784148,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-TJEN","Tijuana River Estuary North"
"Water",1086,0.228920741989882,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-TJEN","Tijuana River Estuary North"
"High",176365,0.454564199315956,"South","Current Wetland Footprint","SC-TJES","Tijuana River Estuary South"
"Low",55483,0.143002213991706,"South","Current Wetland Footprint","SC-TJES","Tijuana River Estuary South"
"Mid",59207,0.152600473727212,"South","Current Wetland Footprint","SC-TJES","Tijuana River Estuary South"
"Upland",85942,0.221507421640416,"South","Current Wetland Footprint","SC-TJES","Tijuana River Estuary South"
"Water",10990,0.0283256913247093,"South","Current Wetland Footprint","SC-TJES","Tijuana River Estuary South"
"High",227771,0.211185543352789,"South","Wetland Migration/All Areas (1.2 ft)","SC-TJES","Tijuana River Estuary South"
"Low",148723,0.137893531503382,"South","Wetland Migration/All Areas (1.2 ft)","SC-TJES","Tijuana River Estuary South"
"Mid",93988,0.0871441353317231,"South","Wetland Migration/All Areas (1.2 ft)","SC-TJES","Tijuana River Estuary South"
"Upland",563127,0.522122137900022,"South","Wetland Migration/All Areas (1.2 ft)","SC-TJES","Tijuana River Estuary South"
"Water",44926,0.0416546519120845,"South","Wetland Migration/All Areas (1.2 ft)","SC-TJES","Tijuana River Estuary South"
"High",1684,0.240159726183685,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-TJES","Tijuana River Estuary South"
"Low",1177,0.167855105533371,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-TJES","Tijuana River Estuary South"
"Mid",709,0.101112378779236,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-TJES","Tijuana River Estuary South"
"Upland",3094,0.44124358243012,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-TJES","Tijuana River Estuary South"
"Water",348,0.0496292070735881,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-TJES","Tijuana River Estuary South"
"High",31182,0.61606243208535,"South","Current Wetland Footprint","SC-VEN","Ventura River"
"Low",3144,0.0621159735256347,"South","Current Wetland Footprint","SC-VEN","Ventura River"
"Mid",5880,0.116171095525042,"South","Current Wetland Footprint","SC-VEN","Ventura River"
"Upland",3605,0.0712239454707103,"South","Current Wetland Footprint","SC-VEN","Ventura River"
"Water",6804,0.134426553393263,"South","Current Wetland Footprint","SC-VEN","Ventura River"
"High",76497,0.325401450539167,"South","Wetland Migration/All Areas (1.2 ft)","SC-VEN","Ventura River"
"Low",12032,0.0511814875470574,"South","Wetland Migration/All Areas (1.2 ft)","SC-VEN","Ventura River"
"Mid",13571,0.0577280558096008,"South","Wetland Migration/All Areas (1.2 ft)","SC-VEN","Ventura River"
"Upland",119866,0.509883659102027,"South","Wetland Migration/All Areas (1.2 ft)","SC-VEN","Ventura River"
"Water",13119,0.0558053470021482,"South","Wetland Migration/All Areas (1.2 ft)","SC-VEN","Ventura River"
"High",201,0.29646017699115,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-VEN","Ventura River"
"Low",40,0.0589970501474926,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-VEN","Ventura River"
"Mid",41,0.0604719764011799,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-VEN","Ventura River"
"Upland",325,0.479351032448378,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-VEN","Ventura River"
"Water",71,0.104719764011799,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-VEN","Ventura River"
